record_number,platform,source_dataset,source_product_id,product_url,title,brand,seller,observed_price,currency,source_category,product_type,weight_grams,dimensions,image_url,source_timestamp,estimate_status,manufacturing_category,product_archetype,match_basis,confidence,quantity_assumption,factory_cost_low_usd,factory_cost_base_usd,factory_cost_high_usd,packaging_base_usd,freight_base_usd,duty_assumption_percent,landed_cost_low_usd,landed_cost_base_usd,landed_cost_high_usd,marketplace_fee_rate_percent,fulfillment_assumption_usd,returns_allowance_rate_percent,total_selling_cost_base_usd,gross_profit_base_usd,gross_margin_base_percent,estimate_notes,description_excerpt,source_dataset_url,estimate_version
178,Amazon,Bright Data Amazon products sample,B0BCH2FH5H,https://www.amazon.com/SANTINY-Leggings-Resistant-Waisted-Thermal/dp/B0CGNNK8GB,SANTINY Women's Fleece Lined Winter Leggings Water Resistant High Waisted Thermal Hiking Running Warm Pants Women Pockets,SANTINY,San███y,19.99,USD,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Leggings",,,11.81 x 7.87 x 0.47 inches; 6 Ounces,https://m.media-amazon.com/images/I/410xgq-OpAL.__AC_SX342_SY445_QL70_ML2_.jpg,2023-10-17 00:00:00.000,Estimated,Apparel,Leggings or yoga pants,Keyword/category match: legging,Medium,1000,3.36,6.24,11.53,0.5,0.35,10,4.17,7.8,14.6,15.0,4.25,5.0,16.05,3.94,19.7,"Fabric recovery, opacity, pockets, and branding affect cost. Tariff and freight assumptions are illustrative and require current validation.","SANTINY Women's winter leggings are made of soft fleece inner to keep you warm and outside water resistant fabric can handle light rain, ideal for cold weather of 20°F-50°F. Warm, Cozy & Comy All In This Pair. 2 ZIPPER POCKETS Deep enough to hold your phones or other essentials. FlEECE LINED Soft fleece inner lock the heat to keep you warm. HIGH WAISTED 4"" high rise elastic waistband offer great tummy control. ANKLE ZIP Zippers with reflective at the ankle cuff for easier take on and off. HIDDEN",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
179,Amazon,Bright Data Amazon products sample,B0BKFTMXJ7,https://www.amazon.com/Aromatherapy-Essential-Oil-Diffuser-Room/dp/B0BKFTMXJ7?th=1&psc=1&currency=USD&language=en_GB,Aromatherapy Essential Oil Diffuser for Room: Air Humidifier Aroma Scent Cool Mist Diffuser Colorful Lights Wood Cute Small Large Waterless Auto Off Ultrasonic Diffusers for Home Bedroom (300ml),Homeweeks,TRE███RE-███,14.99,USD,Health & Household > Health Care > Alternative Medicine > Aromatherapy > Diffusers,,283.495,"4.8""L x 3.6""W x 4.8""H",https://m.media-amazon.com/images/I/61z0zjYa66L.__AC_SX300_SY300_QL70_FMwebp_.jpg,2024-01-16 00:00:00.000,Estimated,Generic,Assembled consumer product,Generic fallback,Low,1000,2.72,10.79,13.49,1,1.8,5,3.65,14.27,23.41,15.0,4.75,5.0,22.02,-7.03,-46.9,Insufficient specifications; use as a broad placeholder until a BOM or supplier match is available. Tariff and freight assumptions are illustrative and require current validation.,"About this item HUMIDIFIER &AROMATHERAPY &NIGHT LIGHT: Besides its functions as a humidifier and uses in aromatherapy, this essential oil diffuser also gives off good light that can easily function as a night light. It’s great to fit for the room, home, office and everywhere you want to put it, and it is the best gift for your family or friends IMPROVE AIR QUALITY AND FEEL RELAXING: The oil diffuser with some aroma will add the amount of moisture to the room to improve your home's air quality an",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
180,Amazon,Bright Data Amazon products sample,B09WQQFNYM,https://www.amazon.com/dp/B09WQQFNYM?language=en_US&currency=USD,"Sunset Lamp Sunset Projection Lamp 16 Modes Rainbow Lamp 360 Rotation with Tripod, RGB Projection Night Lamp for Vlog, Photo, Party and Living Room Décor",Qaeoity,,11.99,USD,Tools & Home Improvement > Lighting & Ceiling Fans > Wall Lights > Night Lights,,255.1455,"‎5.2""D x 5""W x 2""H",https://images-na.ssl-images-amazon.com/images/I/81WiS7kR5OL.__AC_SY445_SX342_QL70_FMwebp_.jpg,2022-09-06 00:00:00.000,Estimated,Home,Lighting fixture or lamp,Keyword/category match: lamp,Low,1000,4.54,8.63,10.79,1.2,2.25,7,6.35,12.93,20.0,15.0,4.75,5.0,20.08,-8.09,-67.4,"Size, driver, safety certification, finish, and packaging affect cost. Tariff and freight assumptions are illustrative and require current validation.","Photo auxiliary lighting Rich colors allow you to take beautiful photos. Can make you shine on Instagram. Soft, warm lighting can meet the needs of TikTok live broadcast, create a pleasant environment and increase ratings. Romantic modern bedroom Modern floor stand night light Allows You To Have A Romantic Modern Bedroom, Textured living Atmosphere, A Warm And Pleasant Living Room For You And Your Family, And A Quality Of Life. Bring Happiness To Family And Children. Relieve Stress Soft colors c",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
181,Amazon,Bright Data Amazon products sample,B09QV3PWGZ,https://www.amazon.com/Wacoal-Womens-Perfect-Primer-Underwire/dp/B093N4VY2H,Wacoal Women's Perfect Primer Underwire Bra,Wacoal,Bar███ece███tie███,49.0,USD,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Everyday Bras",,,0.39 x 0.39 x 0.39 inches; 2.7 Ounces,https://m.media-amazon.com/images/I/71a69qqD+GL._AC_SX342_SY445_.jpg,2023-10-17 00:00:00.000,Estimated,Apparel,Underwear or lingerie,Keyword/category match: lingerie,Low,1000,1.92,4.32,9.61,0.4,0.22,10,2.42,5.44,12.11,15.0,4.25,5.0,19.49,29.51,60.2,"Lace, underwire, molded cups, and trims affect cost. Tariff and freight assumptions are illustrative and require current validation.","Super soft, supple and smooth two ply full figure underwire bra up to a g cup",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
182,Amazon,Bright Data Amazon products sample,B00Q2YGNOU,https://www.amazon.com/dp/B00Q2YGNOU?language=en_US&currency=USD,"Tork Toilet Paper Roll White T24, Advanced, 2-Ply, 80 x 500 sheets, 24651200",Tork,,92.0,USD,"Health & Household > Household Supplies > Tissues, Toilet Paper & Sprays > Toilet Paper",,136.0776,‏  ‎ 25.75 x 17.38 x 7.88 inches; 4.8 Ounces,https://images-na.ssl-images-amazon.com/images/I/41dkmjTjzCL._SY445_SX342_QL70_ML2_.jpg,2022-09-18 00:00:00.000,Estimated,Generic,Assembled consumer product,Generic fallback,Low,1000,2.72,10.89,36.3,1,1.8,5,3.65,14.37,47.36,15.0,3.5,5.0,36.27,55.73,60.6,Insufficient specifications; use as a broad placeholder until a BOM or supplier match is available. Tariff and freight assumptions are illustrative and require current validation.,"Tork Toilet Paper Roll White T24: Enhance the guest experience in low-traffic restrooms with Tork toilet paper. Each roll is designed for maximum absorbency and efficiency and comes individually wrapped to ensure hygiene. These bath tissue rolls have a high sheet count so staff spend less time on refill checks. Traditional bath tissue can be clunky to carry, but this commercial toilet paper comes in an Easy Handling Carry Box that makes it a breeze to transport and recycle.Advantages at a glance",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
183,Amazon,Bright Data Amazon products sample,B07P83S3MW,https://www.amazon.com/Littlearth-Orleans-Saints-Stretch-X-Large/dp/B07P83S3MW,"Littlearth NFL New Orleans Saints Stretch Pet Jersey, Team Color, X-Large",Caseys-Distributing,Ama███.co███,21.01,USD,Sports & Outdoors > Fan Shop > Pet Gear > Pet Clothing > Pet Jerseys,,3628.736,20.5 x 31 x 0.25 inches; 4 Ounces,https://m.media-amazon.com/images/I/91c0Cv8e+XL._AC_SY300_SX300_.jpg,2023-07-31 00:00:00.000,Estimated,Generic,Textile product,Broad apparel category: Sports & Outdoors > Fan Shop > Pet Gear > Pet Clothing > Pet Jerseys,Low,1000,1.82,6.35,18.15,0.65,1.28,5,2.59,8.7,24.83,15.0,12.0,5.0,24.9,-3.89,-18.5,"Fiber, dimensions, sewing complexity, and finishing are unknown. Tariff and freight assumptions are illustrative and require current validation.","Furocious fans everywhere will look forward to game day ​with the​​ Stretch Pet Jersey from Littlearth. Made of high-quality materials and stretch side panels this pet jersey provides your pet with a comfortable game day fit. The official team logo, wordmark, and woven jock tag complete a stylish look. Let your best buddy cheer on a big win in style and comfort!",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
184,Amazon,Bright Data Amazon products sample,B001QUNCBC,https://www.amazon.com/dp/B001QUNCBC?language=en_US&currency=USD,Spectra Fuel Tank GM51C,Spectra Premium,,132.76,USD,Automotive > Replacement Parts > Fuel System > Fuel Tanks & Accessories > Fuel Tanks,,12246.984,‎32.5 x 25.5 x 11.25 inches,https://images-na.ssl-images-amazon.com/images/I/71SzQiD-ObL.__AC_SY300_SX300_QL70_FMwebp_.jpg,2022-09-19 00:00:00.000,Estimated,Generic,Assembled consumer product,Broad accessories category: Automotive > Replacement Parts > Fuel System > Fuel Tanks & Accessories > Fuel Tanks,Low,1000,2.99,11.98,39.93,1,4.4,5,4.61,18.25,60.72,15.0,12.0,5.0,56.8,75.96,57.2,Insufficient specifications; use as a broad placeholder until a BOM or supplier match is available. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.,"Innovative engineering, manufacturing technology and quality control ensure that Spectra Premium fuel tanks meet or exceed the performance of the original equipment they replace.",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
185,Amazon,Bright Data Amazon products sample,B07VNL38HM,https://www.amazon.com/dp/B07VNL38HM?language=en_US&currency=USD,"Maidenform DreamWire Underwire Bra, No-Poke Push-Up Bra, Moderate Coverage, Convertible T-Shirt Bra",Maidenform,,21.99,USD,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Everyday Bras",,,‏  ‎ 13 x 8 x 1 inches; 2.56 Ounces,https://m.media-amazon.com/images/I/71iFi9Uq8dL.__AC_SY445_SX342_QL70_FMwebp_.jpg,2023-05-18 00:00:00.000,Estimated,Apparel,Basic cotton T-shirt,Keyword/category match: t-shirt,Medium,1000,1.4,2.4,4.2,0.35,0.18,10,1.85,3.22,5.78,15.0,4.25,5.0,11.87,10.12,46.0,"Fabric weight, country, certifications, and decoration affect cost. Tariff and freight assumptions are illustrative and require current validation.","This no-poke underwire push-up bra delivers the shapely push-up support you want without the poking or pinching you don't. It's all done with our cushioned Dreamwire™ technology that encases the underwires between plush foam and soft outer fabric for unmatched underwire comfort. Satiny cups provide no-show smoothness under tees and other knits, with a touch of feminine lace at the center. Plus, it offers convertible convenience, transforming from traditional straight straps to crisscross wear in",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
186,Amazon,Bright Data Amazon products sample,B000NI5CWK,https://www.amazon.com/Ancor-Tinned-Copper-Lugs-AWG/dp/B000NI5CWK?th=1&psc=1&currency=USD&language=en_GB,Ancor Tinned Copper Lugs 8 AWG - 4/0 AWG,Ancor,Ama███.co███,18.78,USD,Industrial & Scientific > Industrial Electrical > Wiring & Connecting > Terminals > Ring,,9.07,4.38 x 2.69 x 0.63 inches,https://m.media-amazon.com/images/I/61xSRZZnlHL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2024-01-21 00:00:00.000,Estimated,Generic,Small metal product,Broad source category: Industrial & Scientific > Industrial Electrical > Wiring & Connecting > Terminals > Ring,Low,1000,1.5,5.99,16.9,0.6,0.75,5,1.98,7.71,22.08,15.0,3.5,5.0,14.96,3.82,20.3,"Metal, weight, process, tolerances, and finish are unknown. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.","242726 Marine Grade Electrical Heavy Duty Tinned Copper Lugs (4/0-Gauge, Size 3/8 Screw, 10-Pack) - 1",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
187,Amazon,Bright Data Amazon products sample,B08JHHG53C,https://www.amazon.com/BelugaDesign-Switch-Sticker-Painting-Compatible-Nintendo/dp/B08JHHG53C?th=1&psc=1&currency=USD&language=en_GB,"BelugaDesign Wave Switch Skin | Cool Sticker Wrap Vinyl Decal | Painting Japanese Water Ocean Cute | Compatible with Nintendo Switch (Switch Standard, Gray)",BelugaDesign,Bel███Des███,9.99,USD,Home & Kitchen > Home Décor Products > Home Décor Accents > Decorative Accessories,,49.89512,8.62 x 4.65 x 0.28 inches,https://m.media-amazon.com/images/I/81wrzNsOcOL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2024-01-16 00:00:00.000,Estimated,Apparel,Scarf or wrap,Keyword/category match:  wrap ,Medium,1000,0.96,2.69,6.72,0.35,0.17,10,1.3,3.52,8.69,15.0,3.5,5.0,9.02,0.97,9.7,"Fiber, size, printing, and finishing affect cost. Tariff and freight assumptions are illustrative and require current validation.","Standard Switch Glitter Case Crystal Grips Black Glitter Bag Black Button Cap Ghost Grips White Switch Button Cap Device Standard All All OLED/Standard All OLED/Standard Design Glitter Crystal Black Glitter Black Ghost White No Residue Our lab tested skins leave no damage or residue on your console! Super easy to apply and even easier to remove! Perfect Cut All cuts perfectly align to the console! Dockable Not too thin, not too thick. Our sturdy vinyl does not affect docking! Plus it covers the ",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
188,Amazon,Bright Data Amazon products sample,B002Y27MRQ,https://www.amazon.com/dp/B002Y27MRQ?language=en_US&currency=USD,"Nature’s Bounty Ginkgo Biloba Capsules 120mg, Memory Support Supplement, Supports Brain Function and Mental Alertness, 100 Capsules",Nature's Bounty,,9.99,USD,"Health & Household > Vitamins, Minerals & Supplements > Herbal Supplements > Ginkgo Biloba",,,‏  ‎ 4.1 x 1.9 x 1.9 inches; 2.2 Ounces,https://images-na.ssl-images-amazon.com/images/I/71iwRySMxeL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2022-09-18 00:00:00.000,Estimated,Generic,Textile product,"Broad source category: Health & Household > Vitamins, Minerals & Supplements > Herbal Supplements > Ginkgo Biloba",Low,1000,1.82,6.35,8.99,0.65,0.8,5,2.43,8.19,13.64,15.0,4.25,5.0,14.44,-4.45,-44.6,"Fiber, dimensions, sewing complexity, and finishing are unknown. Tariff and freight assumptions are illustrative and require current validation.","Product Description Nature’s Bounty Ginkgo Biloba Standardized Extract 120 mg supports healthy brain function and mental alertness to continue to help you feel your best. (1) Ginkgo biloba supplements are used for occasional mild memory problems associated with aging. (1) Used in China in the 15th century, Ginkgo also helps to maintain healthy circulation. (1) Looking for Ginkgo supplements to support a healthy brain? (1) Nature’s Bounty Ginkgo capsules are non-GMO, gluten free, sugar free, cont",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
189,Amazon,Bright Data Amazon products sample,B000FAH6I4,https://www.amazon.com/dp/B000FAH6I4?language=en_US&currency=USD,"Tripp Lite 45U 2-Post Open Frame Rack, Network Equipment Rack, 12-24 Threaded and Numbered Mounting Positions, 800 lbs Capacity, 5-Year Warranty (SR2POST)",Tripp Lite,,222.99,USD,Electronics > Computers & Accessories > Computer Accessories & Peripherals > Racks & Cabinets,,13154.168,‎20.3 x 4.75 x 84 inches,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51lSINEtt+L._AC_SY300_SX300_.jpg,2022-09-15 00:00:00.000,Estimated,Apparel,Casual jacket or coat,Keyword/category match: coat,Low,1000,11.15,23.23,51.12,1.5,5.5,10,15.46,33.26,74.05,15.0,12.0,5.0,89.86,133.13,59.7,"Shell, insulation, waterproofing, lining, and hardware dominate. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.",Key Features Product Type SmartRack Detail Specifications - Supports 800lbs of rackmount equipment - Textured powder coat finish - Heavy Duty Aluminum construction - Numbered mounting positions - Bolt down provisions - Self squaring design - Black finish - Easy assembly - Five year repair or replacement warranty Unit Dimensions (in) - 84 x 20.3 x 4.75 (14 total depth with support base) Shipping Dimensions (HWD/in) - 7 X 3 X 85 Shipping weight (lbs) - 29,https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
190,Amazon,Bright Data Amazon products sample,B0CCW73KL3,https://www.amazon.com/PowerA-Advantage-Wired-Controller-Lumectra-Console/dp/B0CCW73KL3?th=1&psc=1&currency=USD&language=en_GB,"PowerA Advantage Wired Controller for Xbox Series X|S with Lumectra + RGB LED Strip - Black, gamepad, wired video game controller, gaming controller, works with Xbox One and Windows 10/11, Officially Licensed for Xbox",PowerA,Ama███.co███,44.0,USD,Video Games > PC > Accessories > Controllers,,439.41724999999997,6.14 x 4.21 x 2.56 inches; 15.46 ounces,https://m.media-amazon.com/images/I/41+7O4qwZPL._SX342_SY445_.jpg,2024-03-17 00:00:00.000,Estimated,Media,Packaged video game or optical disc,Title match: video game,Low,1000,1.0,2.76,7.52,0.5,0.3,5,1.37,3.73,9.99,15.0,4.75,5.0,17.28,26.72,60.7,"Licensing, software development, platform royalties, and distribution are excluded. Tariff and freight assumptions are illustrative and require current validation.","Illuminate the possibilities with the PowerA Advantage Wired Controller for Xbox Series X|S with Lumectra + RGB LED Strip. Licensed by Xbox, this controller features Multi-Zone RGB with 4 individual lighting zones and 3 modes for thousands of color combinations. A Built-in IR transmitter allows you to control compatible Lumectra Zone RGB lighting accessories from your gamepad. Plus, additional features such as two mappable Advanced Gaming Buttons, 3-Way Trigger Locks, Dual Rumble Motors, precisi",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
191,Amazon,Bright Data Amazon products sample,B0932HMW1G,https://www.amazon.com/dp/B0932HMW1G?th=1&psc=1&currency=USD&language=en_GB,"ASLONG 5PCS Angel Wings Front and Back Car Seat Covers Auto Interior Accessories with Water Proof Nappa Leather for Cars SUV Pick-up Truck Universal Comfortable and Breathable (Full Set, Martha Red)",ASLONG,zho███mao███,149.99,USD,Automotive > Interior Accessories > Seat Covers & Accessories > Seat Cushions,Automotive Seat Cushions,7248.40016,26.77 x 22.83 x 8.27 inches,https://m.media-amazon.com/images/I/81RXg+GpUFL._AC_SY300_SX300_.jpg,2024-06-09 00:00:00.000,Estimated,Bags,Wallet or card holder,Keyword/category match: wallet,Low,1000,2.88,7.21,17.29,0.5,0.66,8,3.61,9.04,21.88,15.0,12.0,5.0,51.03,98.96,66.0,"Leather grade, compartments, RFID layers, and packaging affect cost. Modifiers: weatherproof construction, 5-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","Angel Wings Car Seat Covers(Martha Red) Auto Compatibility Airbag and seat belt compatibleKeep inact function of the seatDesigned to fit 50/50, 40/60, 60/40 split rear benches.Fits for more than 99% of 5 seats vehicles Warming Tips Make sure your back seat width is less than 56inPlease check the vehicle fitment before purchasingYou can watch our instruction video available on the page to install. Follow the steps, you can install the seat cover easily. Selected Materials The car seat covers are ",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
192,Amazon,Bright Data Amazon products sample,B00ITPIG54,https://www.amazon.com/dp/B00ITPIG54?th=1&psc=1&currency=USD&language=en_GB,"LASCO 15-1623 PVC Hose Adapter with 3/4-Inch Female Hose and 3/4-Inch PVC Pipe Glue Connection, White",LASCO,Ama███.co███,11.03,USD,"Tools & Home Improvement > Plumbing > Pipes, Pipe Fittings & Accessories > Pipe Fittings",Pipe Fittings,0.283495,1.31 x 1.31 x 2.15 inches,https://m.media-amazon.com/images/I/61yqLnFpAmL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2024-05-27 00:00:00.000,Estimated,Generic,Assembled consumer product,"Broad home category: Tools & Home Improvement > Plumbing > Pipes, Pipe Fittings & Accessories > Pipe Fittings",Low,1000,2.72,7.94,9.93,1,1.5,5,3.57,10.96,18.56,15.0,3.5,5.0,16.67,-5.64,-51.1,Insufficient specifications; use as a broad placeholder until a BOM or supplier match is available. Tariff and freight assumptions are illustrative and require current validation.,"Product Description LASCO 15-1623 PVC Hose Adapters, 3/4-Inch Female Hose x 3/4-Inch PVC Pipe Glue Connection. Hose to pipe adapter. 3/4-inch female hose x 3/4-inch PVC pipe glue connection. Use to adapt garden hose thread to PVC pipe or pipe thread. Use for drip or underground irrigation. PVC plastic, white. LASCO, Lasso Supply Company Inc., The Preferred Brand! Service, Selection and Support! Larsen Supply Company is 3rd Generation, Family owned and operated for over 80 years. LASCO packaging ",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
193,Amazon,Bright Data Amazon products sample,B085HFPM9Z,https://www.amazon.com/dp/B085HFPM9Z?th=1&psc=1&currency=USD&language=en_GB,"GE 3-Outlet Extender, 3 Pack, Grounded Wall Tap, 3-Prong, Multiple Plug, Power Splitter, Cruise Essentials, Use for Home Office School Dorm, UL Listed, White, 47884",GE,Ama███.co███,11.18,USD,"Tools & Home Improvement > Electrical > Cords, Adapters & Multi-Outlets > Adapters & Multi-Outlets > Multi-Outlets",Electrical Multi-Outlets,229.63094999999998,1.95 x 4.45 x 4.3 inches,https://m.media-amazon.com/images/I/71eo1DIwTkL._AC_SL1500_.jpg,2024-07-08 00:00:00.000,Estimated,Home,Rug or mat,Keyword/category match: rug,Low,1000,4.34,8.05,10.06,1.2,3.6,7,6.04,13.75,25.53,15.0,3.5,5.0,19.49,-8.31,-74.3,"Size, fiber, pile, backing, printing, and dimensional freight affect cost. Modifiers: 3-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","When your power supply comes up short, this set of three GE-branded 3-Outlet Grounded Adapters is your answer. Perfect for the holiday season or for special occasions, this three-prong wall adapter tap turns your existing outlet into three, providing you with extra power sources for your household appliances, lamps, tools, seasonal lighting or electronics. The three-prong outlets provide plenty of plug-ins for extension cords or charging adapters for laptops, tablets, smartphones and other mobil",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
194,Amazon,Bright Data Amazon products sample,B0C5D3196C,https://www.amazon.com/dp/B0C5D3196C?th=1&psc=1&currency=USD&language=en_GB,"for Toyota Camry Dash Cover 2011 2010 2009 2008 2007 Dashboard Cover Mat Custom Fit Toyota Camry 2011-2007, Black",POSAID,Bos███ong███,27.99,USD,Automotive > Interior Accessories > Covers > Dash Covers,Interior Dash Covers,340.19399999999996,15.2 x 5.67 x 4.37 inches,https://m.media-amazon.com/images/I/71Valsj-6iL._AC_SL1500_.jpg,2024-07-09 00:00:00.000,Estimated,Home,Rug or mat,Keyword/category match: carpet,Low,1000,3.38,10.14,25.19,1.2,4.0,7,5.11,16.41,43.0,15.0,4.75,5.0,26.76,1.23,4.4,"Size, fiber, pile, backing, printing, and dimensional freight affect cost. Tariff and freight assumptions are illustrative and require current validation.","The dashboard dash cover carpet for Toyota Camry 2011 2010 2009 2008 2007. 1. Provides you a better vision, drive safer 2. Reduces windshield haze caused by gasses emitted from the dashboard 3. Protect your dashboard from UV radiation, sun damage, heat and scratches Great Hole Position Laser measured carpet dash cover custom fit to your car, your A/C vents, air bags, and sensors would not covered up Custom Fit Measure precisely and cut exactly according to the size of the original car Anti-Slip ",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
195,Amazon,Bright Data Amazon products sample,B08HVCT9P1,https://www.amazon.com/dp/B08HVCT9P1?th=1&psc=1&currency=USD&language=en_GB,Hapinest DIY Dinosaur Toy Lantern Night Light Kit - Arts and Crafts Gift for Boys or Girls Ages 6 7 8 9 10 Years Old and Up,Hapinest,Isl███ Ge███s L███,16.99,USD,Toys & Games > Arts & Crafts > Craft Kits > Paper Craft,Kids' Paper Craft Kits,226.796,6.54 x 4.63 x 3.54 inches,https://m.media-amazon.com/images/I/81SRj+q-1pL._AC_SL1500_.jpg,2024-07-08 00:00:00.000,Estimated,Toys,Small molded plastic toy,Keyword/category match: toy,Low,1000,0.66,1.76,4.41,0.35,0.27,5,0.97,2.5,6.33,15.0,3.5,5.0,9.4,7.59,44.7,"Tooling and safety testing excluded; paint, parts, and electronics add cost. Tariff and freight assumptions are illustrative and require current validation.","About this item KIT INCLUDES: 1 jar, lid with color changing lights, lantern handle, vellum dinosaur landscape, glue, foam brush, black cord, dinosaur tooth, 6 dinosaur stickers, beads, glitter dust, and instructions. EASY STEP-BY-STEP INSTRUCTIONS: Boys or girls will love creating and crafting their very own dinosaur lantern that doubles as a night light by their bedside. With easy step-by-step instructions kids will watch their dinosaur lantern come to life. CUSTOMIZE THE LOOK: Create your own",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
196,Amazon,Bright Data Amazon products sample,B00VJ53YT4,https://www.amazon.com/dp/B00VJ53YT4?th=1&psc=1&currency=USD&language=en_GB,"SkyBound Replacement Trampoline Mat, Fits 15ft Frames w/Spring Tool and Durable V-Rings, Bounce Safely with Extra Rows of Stitching - Jumping Mat for 15ft Round Trampoline - Fit 96 Springs & 6.5-7""",SkyBound,Ama███.co███,78.99,USD,Sports & Outdoors > Sports > Leisure Sports & Game Room > Trampolines & Accessories > Parts & Accessories > Mats,Trampoline Mats,4082.328,23 x 14.3 x 6.1 inches,https://m.media-amazon.com/images/I/61WKZHajFUL._AC_SL1500_.jpg,2024-07-09 00:00:00.000,Estimated,Apparel,Casual jacket or coat,Keyword/category match: coat,Low,1000,11.15,23.23,51.12,1.5,4.0,10,14.8,31.61,70.09,15.0,12.0,5.0,59.41,19.58,24.8,"Shell, insulation, waterproofing, lining, and hardware dominate. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.","About this item PRODUCT DIMENSIONS: Mat width: 159 inches wide | # of rings: 96 | Compatible with 15 foot diameter trampoline frames | Spring size: 7 inch (springs not included) DURABLE: These trampoline mats feature heavy duty stitching, stronger rings, and UV sun protective coating to help your kids bounce safely all year long MEASUREMENT: Ordering a replacement trampoline mat can be complicated. For help, watch SkyBound's ""How to Measure"" videos or scroll to the product details below RISK FRE",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
197,Amazon,Bright Data Amazon products sample,B00IK4TNXI,https://www.amazon.com/dp/B00IK4TNXI?language=en_US&currency=USD,"ECLIPSE Hair Fibers Light Brown for Thinning Hair for Women & Men to Conceal Hair Loss in 15 Seconds - 100% Undetectable Hair Building Fibers, 30g",Eclipse Instant Hair Filler,,34.99,USD,Beauty & Personal Care > Hair Care > Hair Loss Products > Hair Building Fibers,,,‏  ‎ 4.25 x 2 x 2 inches; 0.81 Ounces,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41YWKep88+L._SY300_SX300_.jpg,2022-09-18 00:00:00.000,Estimated,Beauty,Hair oil or hair-care liquid,Keyword/category match: hair care,Low,1000,1.2,3.5,9.0,0.7,0.45,4,1.66,4.84,12.17,15.0,4.25,5.0,16.08,18.91,54.0,"Formula, botanical ingredients, testing, volume, and packaging affect cost. Tariff and freight assumptions are illustrative and require current validation.","Are you concerned about thinning hair? Do you feel like you have to style your hair a certain way to cover up those areas? Well, worry no more! With Eclipse Hair Fibers, you can get the appearance of thicker, fuller hair in just 15 seconds. All you have to do is shake the hair fibers into your thinning areas and voila! You'll see instant results that are undetectable from just inches away. So no one will know you're using hair fibers to conceal your thinning areas. Eclipse Hair Fibers are made o",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
